Date,AAPL,DHR,MSFT
2014-09-02,23.1458740234375,55.45676803588867,39.10721969604492
2014-09-03,22.1689510345459,55.58013916015625,38.99447250366211
2014-09-04,21.985212326049805,55.32615280151367,39.25466537475586
2014-09-05,22.175678253173828,55.97925567626953,39.818424224853516
2014-09-08,22.038997650146484,55.91395950317383,40.304115295410156
2014-09-09,21.956090927124023,55.56562805175781,40.55562973022461
2014-09-10,22.630529403686523,55.826873779296875,40.62501907348633
2014-09-11,22.72687339782715,56.080848693847656,40.7637825012207
2014-09-12,22.778406143188477,55.790584564208984,40.50360107421875
2014-09-15,22.771686553955078,55.609161376953125,40.10462951660156
2014-09-16,22.599157333374023,56.29130172729492,40.55562973022461
2014-09-17,22.76047706604004,57.133113861083984,40.34748840332031
2014-09-18,22.807537078857422,57.59029006958008,40.486244201660156
2014-09-19,22.621559143066406,57.65559387207031,41.21479797363281
2014-09-22,22.643964767456055,56.71946334838867,40.81583023071289
2014-09-23,22.99799156188965,56.18246841430664,40.38218307495117
2014-09-24,22.798568725585938,56.4803466796875,40.83317565917969
2014-09-25,21.929201126098633,54.96172332763672,39.93117141723633
2014-09-26,22.574506759643555,55.15791320800781,40.252071380615234
2014-09-29,22.431108474731445,55.070716857910156,40.278099060058594
2014-09-30,22.574506759643555,55.208778381347656,40.208717346191406
2014-10-01,22.22272491455078,54.19151306152344,39.809749603271484
2014-10-02,22.384050369262695,54.08251953125,39.688316345214844
2014-10-03,22.321313858032227,54.45309066772461,39.97453308105469
2014-10-06,22.321313858032227,54.41675567626953,39.97453308105469
2014-10-07,22.12638282775879,53.23963165283203,39.48883819580078
2014-10-08,22.58571434020996,54.19878387451172,40.57299041748047
2014-10-09,22.63500213623047,52.876319885253906,39.766387939453125
2014-10-10,22.570022583007812,52.21509552001953,38.18787384033203
2014-10-13,22.3638858795166,52.09882354736328,37.858299255371094
2014-10-14,22.12638282775879,52.31682586669922,37.92768096923828
2014-10-15,21.855260848999023,52.30229568481445,37.48534393310547
2014-10-16,21.568462371826172,53.90811538696289,37.06903839111328
2014-10-17,21.884380340576172,54.34409713745117,37.8409423828125
2014-10-20,22.352684020996094,54.30048751831055,38.231224060058594
2014-10-21,22.95989990234375,55.40496063232422,38.92508316040039
2014-10-22,23.076412200927734,54.91086196899414,38.491432189941406
2014-10-23,23.488685607910156,56.211509704589844,39.04651641845703
2014-10-24,23.57607650756836,56.647499084472656,40.009239196777344
2014-10-27,23.551427841186523,56.58209991455078,39.818424224853516
2014-10-28,23.91665267944336,57.94088363647461,40.321468353271484
2014-10-29,24.05109405517578,57.62116622924805,40.434200286865234
2014-10-30,23.970428466796875,57.9190788269043,39.939842224121094
2014-10-31,24.198974609375,58.420448303222656,40.720436096191406
2014-11-03,24.51266098022461,58.108001708984375,41.145423889160156
2014-11-04,24.333415985107422,58.122535705566406,41.258155822753906
2014-11-05,24.391672134399414,58.689300537109375,41.50968933105469
2014-11-06,24.46143341064453,59.04534912109375,42.23823165893555
2014-11-07,24.53119468688965,58.994483947753906,42.220882415771484
2014-11-10,24.490690231323242,59.06715393066406,42.40303039550781
2014-11-11,24.686473846435547,59.15433120727539,42.38567352294922
2014-11-12,25.035274505615234,59.844642639160156,42.30760955810547
2014-11-13,25.388578414916992,59.87369918823242,43.02748489379883
2014-11-14,25.694622039794922,59.750179290771484,43.001461029052734
2014-11-17,25.651870727539062,59.85190200805664,42.89739227294922
2014-11-18,25.98493003845215,60.004486083984375,42.5395393371582
2014-11-19,25.804899215698242,59.99721908569336,42.085689544677734
2014-11-20,26.17395782470703,59.95362091064453,42.504634857177734
2014-11-21,26.209959030151367,60.73836898803711,41.87622833251953
2014-11-24,26.696048736572266,60.68024444580078,41.535831451416016
2014-11-25,26.46425437927246,60.585784912109375,41.43111038208008
2014-11-26,26.779308319091797,60.636653900146484,41.67546844482422
2014-11-28,26.7635498046875,60.716575622558594,41.72786331176758
2014-12-01,25.89491081237793,60.360538482666016,42.434814453125
2014-12-02,25.7958927154541,60.73110580444336,42.29515838623047
2014-12-03,26.08844566345215,61.6539306640625,41.9635009765625
2014-12-04,25.989423751831055,61.45773696899414,42.62682342529297
2014-12-05,25.879161834716797,61.675716400146484,42.26025390625
2014-12-08,25.294065475463867,61.57399368286133,41.631839752197266
2014-12-09,25.681127548217773,61.29787826538086,41.535831451416016
2014-12-10,25.19280242919922,60.41139602661133,40.933624267578125
2014-12-11,25.118541717529297,60.999961853027344,41.169273376464844
2014-12-12,24.693218231201172,60.861900329589844,40.97726821899414
2014-12-15,24.355667114257812,60.59305191040039,40.73286819458008
2014-12-16,24.02260971069336,59.750179290771484,39.41496276855469
2014-12-17,24.6212100982666,60.99269104003906,39.92119216918945
2014-12-18,25.350326538085938,62.48952865600586,41.47474670410156
2014-12-19,25.154537200927734,62.68571090698242,41.5969352722168
2014-12-22,25.415590286254883,63.2597541809082,41.87622833251953
2014-12-23,25.3255672454834,63.33251190185547,42.28643035888672
2014-12-24,25.206298828125,63.136085510253906,42.015869140625
2014-12-26,25.651870727539062,63.09244155883789,41.78894805908203
2014-12-29,25.633869171142578,63.20156478881836,41.41365432739258
2014-12-30,25.321075439453125,62.735992431640625,41.03835678100586
2014-12-31,24.839494705200195,62.35042953491211,40.540863037109375
2015-01-02,24.603206634521484,62.357704162597656,40.81142044067383
2015-01-05,23.910099029541016,61.73937225341797,40.43612289428711
2015-01-06,23.91234588623047,61.31743240356445,39.84263229370117
2015-01-07,24.24764633178711,61.688446044921875,40.348854064941406
