Date,AAPL,DHR,MSFT
2014-09-02,23.1458740234375,55.45677185058594,39.10721969604492
2014-09-03,22.1689510345459,55.58013153076172,38.994468688964844
2014-09-04,21.985219955444336,55.32614517211914,39.25465774536133
2014-09-05,22.175670623779297,55.9792594909668,39.818424224853516
2014-09-08,22.038990020751953,55.91396713256836,40.30411911010742
2014-09-09,21.95608901977539,55.56562805175781,40.555633544921875
2014-09-10,22.630521774291992,55.82686233520508,40.62502670288086
2014-09-11,22.726871490478516,56.08085632324219,40.76378631591797
2014-09-12,22.778400421142578,55.79058074951172,40.50358963012695
2014-09-15,22.77168846130371,55.60916519165039,40.10462951660156
2014-09-16,22.599149703979492,56.29130172729492,40.555633544921875
2014-09-17,22.760480880737305,57.13310623168945,40.34748458862305
2014-09-18,22.80753517150879,57.59028625488281,40.48625564575195
2014-09-19,22.621559143066406,57.65559005737305,41.21479034423828
2014-09-22,22.643962860107422,56.719459533691406,40.81583023071289
2014-09-23,22.997987747192383,56.18244934082031,40.382171630859375
2014-09-24,22.798572540283203,56.48036575317383,40.83317565917969
2014-09-25,21.929201126098633,54.961734771728516,39.93116760253906
2014-09-26,22.574504852294922,55.15790939331055,40.252071380615234
2014-09-29,22.431106567382812,55.07072067260742,40.278099060058594
2014-09-30,22.574504852294922,55.208778381347656,40.20871353149414
2014-10-01,22.222728729248047,54.19150161743164,39.80974578857422
2014-10-02,22.384048461914062,54.08251190185547,39.688323974609375
2014-10-03,22.321311950683594,54.45309829711914,39.97453308105469
2014-10-06,22.321311950683594,54.41676712036133,39.97453308105469
2014-10-07,22.126380920410156,53.23963928222656,39.48883056640625
2014-10-08,22.585712432861328,54.19877243041992,40.57299041748047
2014-10-09,22.6350040435791,52.876319885253906,39.76637649536133
2014-10-10,22.570026397705078,52.215087890625,38.1878662109375
2014-10-13,22.3638916015625,52.09884262084961,37.85828399658203
2014-10-14,22.126380920410156,52.31682586669922,37.927669525146484
2014-10-15,21.855257034301758,52.30228042602539,37.4853401184082
2014-10-16,21.568458557128906,53.908119201660156,37.069026947021484
2014-10-17,21.88438606262207,54.34409713745117,37.8409309387207
2014-10-20,22.352680206298828,54.300498962402344,38.23123550415039
2014-10-21,22.959901809692383,55.40496063232422,38.925086975097656
2014-10-22,23.076416015625,54.91087341308594,38.49143981933594
2014-10-23,23.48869514465332,56.211509704589844,39.046512603759766
2014-10-24,23.57607650756836,56.64750671386719,40.00923156738281
2014-10-27,23.55143165588379,56.582096099853516,39.818424224853516
2014-10-28,23.916654586791992,57.94088363647461,40.32146453857422
2014-10-29,24.05109405517578,57.62116622924805,40.4342155456543
2014-10-30,23.970428466796875,57.91907501220703,39.93983840942383
2014-10-31,24.1989688873291,58.42045211791992,40.720428466796875
2014-11-03,24.51266098022461,58.10799789428711,41.145408630371094
2014-11-04,24.333412170410156,58.1225471496582,41.2581672668457
2014-11-05,24.391674041748047,58.689308166503906,41.50968551635742
2014-11-06,24.461423873901367,59.04534912109375,42.23822784423828
2014-11-07,24.53119659423828,58.99449157714844,42.22087097167969
2014-11-10,24.49068832397461,59.0671501159668,42.40300750732422
2014-11-11,24.686471939086914,59.15434265136719,42.38566589355469
2014-11-12,25.0352783203125,59.84461975097656,42.3076057434082
2014-11-13,25.388580322265625,59.87369155883789,43.027488708496094
2014-11-14,25.694631576538086,59.750179290771484,43.001468658447266
2014-11-17,25.651872634887695,59.851890563964844,42.89738082885742
2014-11-18,25.984922409057617,60.004486083984375,42.539546966552734
2014-11-19,25.80489158630371,59.99723434448242,42.085697174072266
2014-11-20,26.173959732055664,59.9536247253418,42.5046272277832
2014-11-21,26.209959030151367,60.738380432128906,41.87622833251953
2014-11-24,26.696043014526367,60.680240631103516,41.53583526611328
2014-11-25,26.464252471923828,60.585792541503906,41.43111038208008
2014-11-26,26.7793025970459,60.63664245605469,41.67549133300781
2014-11-28,26.7635555267334,60.716575622558594,41.72785568237305
2014-12-01,25.894908905029297,60.36052703857422,42.434810638427734
2014-12-02,25.79589080810547,60.731117248535156,42.295162200927734
2014-12-03,26.08844757080078,61.653926849365234,41.96350860595703
2014-12-04,25.989423751831055,61.45774841308594,42.6268310546875
2014-12-05,25.8791561126709,61.675716400146484,42.260250091552734
2014-12-08,25.2940673828125,61.5739860534668,41.63184356689453
2014-12-09,25.681133270263672,61.29786682128906,41.53583526611328
2014-12-10,25.192800521850586,60.411399841308594,40.93361282348633
2014-12-11,25.118539810180664,60.99996566772461,41.16926956176758
2014-12-12,24.693218231201172,60.861907958984375,40.97725296020508
2014-12-15,24.355663299560547,60.59305191040039,40.732872009277344
2014-12-16,24.022619247436523,59.750179290771484,39.414974212646484
2014-12-17,24.62120819091797,60.99270248413086,39.92118835449219
2014-12-18,25.350322723388672,62.489540100097656,41.47474670410156
2014-12-19,25.154544830322266,62.685726165771484,41.5969352722168
2014-12-22,25.41558837890625,63.25974655151367,41.87622833251953
2014-12-23,25.325576782226562,63.33250427246094,42.28643798828125
2014-12-24,25.206300735473633,63.136070251464844,42.01587677001953
2014-12-26,25.651872634887695,63.09245681762695,41.78894805908203
2014-12-29,25.63387107849121,63.20154571533203,41.413639068603516
2014-12-30,25.32107162475586,62.73599624633789,41.03835678100586
2014-12-31,24.839494705200195,62.350440979003906,40.54087448120117
2015-01-02,24.60320472717285,62.35770797729492,40.811424255371094
2015-01-05,23.910093307495117,61.73937225341797,40.436126708984375
2015-01-06,23.91234588623047,61.31744384765625,39.842647552490234
2015-01-07,24.247648239135742,61.68844223022461,40.34885025024414
