Date,AAPL,MSFT
2019-12-02,64.6978988647461,145.389892578125
2019-12-03,63.54433059692383,145.15658569335938
2019-12-04,64.1052017211914,145.6815643310547
2019-12-05,65.0456771850586,145.7593231201172
2019-12-06,66.30211639404297,147.52870178222656
2019-12-09,65.37389373779297,147.1495361328125
2019-12-10,65.75595092773438,146.9259490966797
2019-12-11,66.31683349609375,147.4801025390625
2019-12-12,66.48580169677734,148.97723388671875
2019-12-13,67.38957214355469,150.23138427734375
2019-12-16,68.54312896728516,151.2035369873047
2019-12-17,68.67784118652344,150.3869171142578
2019-12-18,68.51373291015625,150.07579040527344
2019-12-19,68.58232116699219,151.37855529785156
2019-12-20,68.44026184082031,153.03121948242188
2019-12-23,69.55712127685547,153.03121948242188
2019-12-24,69.62323760986328,153.0020294189453
2019-12-26,71.00457000732422,154.25619506835938
2019-12-27,70.97762298583984,154.53811645507812
2019-12-30,71.39889526367188,153.20623779296875
2019-12-31,71.92056274414062,153.3131866455078
2020-01-02,73.56153869628906,156.15191650390625
2020-01-03,72.84635925292969,154.20758056640625
2020-01-06,73.42682647705078,154.60617065429688
2020-01-07,73.08149719238281,153.19650268554688
2020-01-08,74.2571029663086,155.63668823242188
2020-01-09,75.83438873291016,157.58103942871094
2020-01-10,76.0058364868164,156.85194396972656
2020-01-13,77.629638671875,158.73797607421875
2020-01-14,76.58139038085938,157.61993408203125
2020-01-15,76.25321197509766,158.6407012939453
2020-01-16,77.20838165283203,161.5475616455078
2020-01-17,78.06314849853516,162.45167541503906
2020-01-21,77.53412628173828,161.86839294433594
2020-01-22,77.81089782714844,161.09063720703125
2020-01-23,78.18560028076172,162.08226013183594
2020-01-24,77.96028900146484,160.44898986816406
2020-01-27,75.6678466796875,157.76577758789062
2020-01-28,77.80843353271484,160.85733032226562
2020-01-29,79.43714904785156,163.3655242919922
2020-01-30,79.32202911376953,167.97366333007812
2020-01-31,75.80500030517578,165.49462890625
2020-02-03,75.59681701660156,169.52919006347656
2020-02-04,78.09254455566406,175.10951232910156
2020-02-05,78.72933959960938,174.89556884765625
2020-02-06,79.65023040771484,178.5218505859375
2020-02-07,78.56757354736328,178.7746124267578
2020-02-10,78.94072723388672,183.45082092285156
2020-02-11,78.46446990966797,179.30934143066406
2020-02-12,80.32781219482422,179.57183837890625
2020-02-13,79.75579071044922,178.59967041015625
2020-02-14,79.77543640136719,180.1940155029297
2020-02-18,78.31470489501953,182.021728515625
2020-02-19,79.44891357421875,182.56765747070312
2020-02-20,78.63385772705078,179.77960205078125
2020-02-21,76.85396575927734,174.0962677001953
2020-02-24,73.2033920288086,166.5900115966797
2020-02-25,70.72380828857422,163.84103393554688
2020-02-26,71.84574890136719,165.88815307617188
2020-02-27,67.14933013916016,154.19984436035156
2020-02-28,67.11005401611328,157.9334716796875
2020-03-02,73.35804748535156,168.44224548339844
2020-03-03,71.02823638916016,160.37059020996094
2020-03-04,74.3228530883789,166.2585906982422
2020-03-05,71.91205596923828,162.0862579345703
2020-03-06,70.95703887939453,157.50453186035156
2020-03-09,65.34489440917969,146.83006286621094
2020-03-10,70.05115509033203,156.8708953857422
2020-03-11,67.61823272705078,149.7643585205078
2020-03-12,60.94062042236328,135.56094360351562
2020-03-13,68.2418212890625,154.83349609375
2020-03-16,59.46270751953125,132.01254272460938
2020-03-17,62.07728576660156,142.88198852539062
2020-03-18,60.557640075683594,136.8672332763672
2020-03-19,60.093650817871094,139.11912536621094
2020-03-20,56.278564453125,133.89398193359375
2020-03-23,55.082984924316406,132.55844116210938
2020-03-24,60.609195709228516,144.60743713378906
2020-03-25,60.27532196044922,143.2231903076172
2020-03-26,63.44718933105469,152.1819305419922
2020-03-27,60.82032775878906,145.93321228027344
2020-03-30,62.55601119995117,156.1982421875
2020-03-31,62.42835998535156,153.74169921875
2020-04-01,59.1435661315918,148.28257751464844
2020-04-02,60.130470275878906,151.35328674316406
2020-04-03,59.26630783081055,149.95932006835938
2020-04-06,64.4365463256836,161.1114501953125
2020-04-07,63.69022750854492,159.37623596191406
2020-04-08,65.32035827636719,160.97496032714844
2020-04-09,65.79170989990234,160.98472595214844
2020-04-13,67.08306121826172,161.34539794921875
2020-04-14,70.470947265625,169.32933044433594
2020-04-15,69.82775115966797,167.5551300048828
2020-04-16,70.38257598876953,172.58526611328125
2020-04-17,69.42757415771484,174.10601806640625
2020-04-20,67.98649597167969,170.65513610839844
2020-04-21,65.88500213623047,163.59732055664062
2020-04-22,67.78273010253906,169.1538848876953
2020-04-23,67.52005767822266,167.10670471191406
2020-04-24,69.46931457519531,170.15794372558594
2020-04-27,69.51841735839844,169.67054748535156
2020-04-28,68.3915786743164,165.53721618652344
2020-04-29,70.63790893554688,172.96546936035156
2020-04-30,72.12808990478516,174.70069885253906
2020-05-01,70.96688079833984,170.1774444580078
2020-05-04,71.9709701538086,174.33998107910156
2020-05-05,73.05116271972656,176.21168518066406
2020-05-06,73.80486297607422,177.94688415527344
2020-05-07,74.568359375,178.98023986816406
2020-05-08,76.34320831298828,180.0330810546875
2020-05-11,77.54450988769531,182.04124450683594
2020-05-12,76.65831756591797,177.91766357421875
2020-05-13,75.73271942138672,175.2270965576172
2020-05-14,76.19798278808594,175.9874725341797
2020-05-15,75.74749755859375,178.55128479003906
2020-05-18,77.5322036743164,180.2572784423828
2020-05-19,77.08418273925781,179.0094757080078
2020-05-20,78.58332824707031,181.49244689941406
2020-05-21,77.9974365234375,179.31251525878906
2020-05-22,78.49962615966797,179.39071655273438
2020-05-26,77.9679183959961,177.4942626953125
